sep=,
Size,Average operations
9370,1.498e+05
9375,1.443e+05
9380,1.4549e+05
9385,1.4425e+05
9390,1.4368e+05
9395,1.4155e+05
9400,1.4494e+05
9405,1.448e+05
9410,1.3999e+05
9415,1.4239e+05
9420,1.4899e+05
9425,1.4226e+05
9430,1.4641e+05
9435,1.468e+05
9440,1.4822e+05
9445,1.4629e+05
9450,1.4769e+05
9455,1.4993e+05
9460,1.4682e+05
9465,1.4417e+05
9470,1.4694e+05
9475,1.436e+05
9480,1.4973e+05
9485,1.4859e+05
9490,1.5124e+05
9495,1.4427e+05
9500,1.4735e+05
9505,1.4678e+05
9510,1.4556e+05
9515,1.4653e+05
9520,1.4557e+05
9525,1.4858e+05
9530,1.5015e+05
9535,1.4709e+05
9540,1.4655e+05
9545,1.5075e+05
9550,1.502e+05
9555,1.4626e+05
9560,1.4808e+05
9565,1.4681e+05
9570,1.5181e+05
9575,1.4667e+05
9580,1.4735e+05
9585,1.5078e+05
9590,1.4908e+05
9595,1.4896e+05
9600,1.4814e+05
9605,1.5008e+05
9610,1.4686e+05
9615,1.4687e+05
9620,1.4839e+05
9625,1.472e+05
9630,1.5096e+05
9635,1.4696e+05
9640,1.5e+05
9645,1.5031e+05
9650,1.5093e+05
9655,1.5473e+05
9660,1.5327e+05
9665,1.4922e+05
9670,1.508e+05
9675,1.502e+05
9680,1.4863e+05
9685,1.5008e+05
9690,1.4974e+05
9695,1.5034e+05
9700,1.516e+05
9705,1.5543e+05
9710,1.516e+05
9715,1.5101e+05
9720,1.4946e+05
9725,1.5373e+05
9730,1.5352e+05
9735,1.4879e+05
9740,1.5274e+05
9745,1.473e+05
9750,1.5204e+05
9755,1.5375e+05
9760,1.5093e+05
9765,1.548e+05
9770,1.5072e+05
9775,1.5478e+05
9780,1.5448e+05
9785,1.5361e+05
9790,1.5221e+05
9795,1.5627e+05
9800,1.5057e+05
9805,1.5367e+05
9810,1.5135e+05
9815,1.5292e+05
9820,1.5153e+05
9825,1.5094e+05
9830,1.5269e+05
9835,1.5729e+05
9840,1.556e+05
9845,1.5225e+05
9850,1.5549e+05
9855,1.5371e+05
9860,1.5413e+05
9865,1.5366e+05
9870,1.5225e+05
9875,1.5179e+05
9880,1.5631e+05
9885,1.5285e+05
9890,1.564e+05
9895,1.5521e+05
9900,1.5176e+05
9905,1.5625e+05
9910,1.5472e+05
9915,1.5308e+05
9920,1.5598e+05
9925,1.5132e+05
9930,1.551e+05
9935,1.5674e+05
9940,1.5591e+05
9945,1.5379e+05
9950,1.5232e+05
9955,1.5794e+05
9960,1.5646e+05
9965,1.5553e+05
9970,1.5633e+05
9975,1.5526e+05
9980,1.5796e+05
9985,1.5256e+05
9990,1.5342e+05
9995,1.5253e+05
10000,1.5291e+05
