sep=,
Size,Average operations
10,45
15,105
20,190
25,300
30,435
35,595
40,780
45,990
50,1225
55,1485
60,1770
65,2080
70,2415
75,2775
80,3160
85,3570
90,4005
95,4465
100,4950
105,5460
110,5995
115,6555
120,7140
125,7750
130,8385
135,9045
140,9730
145,10440
150,11175
155,11935
160,12720
165,13530
170,14365
175,15225
180,16110
185,17020
190,17955
195,18915
200,19900
205,20910
210,21945
215,23005
220,24090
225,25200
230,26335
235,27495
240,28680
245,29890
250,31125
255,32385
260,33670
265,34980
270,36315
275,37675
280,39060
285,40470
290,41905
295,43365
300,44850
305,46360
310,47895
315,49455
320,51040
325,52650
330,54285
335,55945
340,57630
345,59340
350,61075
355,62835
360,64620
365,66430
370,68265
375,70125
380,72010
385,73920
390,75855
395,77815
400,79800
405,81810
410,83845
415,85905
420,87990
425,90100
430,92235
435,94395
440,96580
445,98790
450,1.0102e+05
455,1.0328e+05
460,1.0557e+05
465,1.0788e+05
470,1.1022e+05
475,1.1258e+05
480,1.1496e+05
485,1.1737e+05
490,1.1980e+05
495,1.2226e+05
500,1.2475e+05
505,1.2726e+05
510,1.298e+05
515,1.3236e+05
520,1.3494e+05
525,1.3755e+05
530,1.4018e+05
535,1.4284e+05
540,1.4553e+05
545,1.4824e+05
550,1.5098e+05
555,1.5374e+05
560,1.5652e+05
565,1.5933e+05
570,1.6216e+05
575,1.6502e+05
580,1.6791e+05
585,1.7082e+05
590,1.7376e+05
595,1.7672e+05
600,1.797e+05
605,1.8271e+05
610,1.8574e+05
615,1.8880e+05
620,1.9189e+05
625,1.95e+05
630,1.9814e+05
635,2.013e+05
640,2.0448e+05
645,2.0769e+05
650,2.1092e+05
655,2.1418e+05
660,2.1747e+05
665,2.2078e+05
670,2.2412e+05
675,2.2748e+05
680,2.3086e+05
685,2.3427e+05
690,2.3770e+05
695,2.4116e+05
700,2.4465e+05
705,2.4816e+05
710,2.517e+05
715,2.5526e+05
720,2.5884e+05
725,2.6245e+05
730,2.6608e+05
735,2.6974e+05
740,2.7343e+05
745,2.7714e+05
750,2.8088e+05
755,2.8464e+05
760,2.8842e+05
765,2.9223e+05
770,2.9606e+05
775,2.9992e+05
780,3.0381e+05
785,3.0772e+05
790,3.1166e+05
795,3.1562e+05
800,3.196e+05
805,3.2361e+05
810,3.2764e+05
815,3.3170e+05
820,3.3579e+05
825,3.399e+05
830,3.4404e+05
835,3.482e+05
840,3.5238e+05
845,3.5659e+05
850,3.6082e+05
855,3.6508e+05
860,3.6937e+05
865,3.7368e+05
870,3.7802e+05
875,3.8238e+05
880,3.8676e+05
885,3.9117e+05
890,3.9560e+05
895,4.0006e+05
900,4.0455e+05
905,4.0906e+05
910,4.136e+05
915,4.1816e+05
920,4.2274e+05
925,4.2735e+05
930,4.3198e+05
935,4.3664e+05
940,4.4133e+05
945,4.4604e+05
950,4.5078e+05
955,4.5554e+05
960,4.6032e+05
965,4.6513e+05
970,4.6996e+05
975,4.7482e+05
980,4.7971e+05
985,4.8462e+05
990,4.8956e+05
995,4.9452e+05
1000,4.995e+05
